ID_COMMENT,COMMENTS_CONTENT
1,What a lovely review! :)
2,"You are totally right. This guy tends to wander in his own thoughts and as time went by, his writings got more and more incoherent. He kept using sentences like ""Back then, the girl used to do this and that"", ""A while ago, I did not use to do this and that"", ""Back then, my mother/grandmother used to do this and that"". I remember there was one time I was reading his book, and within 3 paragraphs, he jumped from present day to the past and to the present day again, then to the past, and then to the present day again good LORD. And within that 3 paragraphs, he had like used his ""Back then..."" 3-4 times. After that I kind of gave up on him. His writing is no doubt the 'friendliest' Vietnamese lit out there, and can be read by anybody, but my advice would be that you should read his books that were written before 2000."
2,"I get what you mean! I actually had to read this one part thrice because he said he ended up doing this... and in the next part he said oh but I didn't. Turns out, he did it in his childhood while playacting with friends, but in real life he didn't actually do it. Seriously..."
2,I think it's because the translation.I gave this book 3 stars but the translated?2stars
2,What does she have to do with you?This is a rating.NOT a chat page.Why do you ramdomly show up on hers?
4,Tiếp quyển Cảm ơn người lớn cho trọn vẹn luôn bạn :)
4,mình đọc cuốn đó ngay khi nó mới ra rồi bạn ạ =))))) còn đi tgia kí tặng sách của bác Ánh =)))) hem thích bằng cuốn này
4,So great ^^
31,"Hi bạn, mình có thể copy 1 phần comment của bạn cho Mắt Biếc để post trên trang FB của mình ko ạ? Vì mình thấy comment của bạn rất hay luôn."
31,Uk bạn cứ thoải mái bạn ạ. Không có vấn đề gì hết đâu. Nếu bạn có thể ghi tên của mình nữa thì mình cũng sẽ rất vui. Nhưng nếu không thì cũng không sao hết đâu ^^
32,"People love it because it's realistic. A good novel doesn't always have to have perfect characters. If you want perfect and likeable characters that much, you should read ""The Notebook"". Yes, Ngạn sounds like a loser, Hà Lan must be a utilitarian girl, Dũng is an f-boy. But that's why this story could have touched so many people- because it's realistic and it's relatable. We don't need to be gods to love, to hate, to have meaningful memories and bitter experiences. Ngạn, as I said- is just a below-average guy, but his loyal with Ha Lan is a symbol for a type of love that so many people on earth have experienced: the innocent, no self-interest emotions toward your crush, your first love. Sometimes this type of love is harmful to both of the parties, but it's love regardless and that's why Ngạn's emotions toward Hà Lan in this novel should be seen with empathy even they are not sensible at all. Hà Lan can be observed as a typical beautiful girl who changes her environment from rural to urban. Her life can turn in two directions - either to become independent and to be happy, or it can also be very painful. Nguyễn Nhật Ánh made her make a choice and we should not criticise it, but to learn from her decision's consequences. Furthermore- About Dũng, I don't think he's that bad. Yeah, he's pretty bad, but in this novel, he represents the guys who are young and have nothing to worry about life and/or financial problems. Guys like that can be carefree, heartless or to be seen by some people as cruel but it's a fact of life and there is little thing we can do about it other than protecting and improving ourselves. And lastly, Trà Long- a cute girl with all the good traits, but turns out to be just a copy or someone else's replacement. It's bitter and it's hard to accept, but again it's realistic. Trust me, if you dive deep enough into love, someday you may find yourself- or your partner just to be a replacement for a ghost of the past. But I hope that you all won't have to live a whole life in that role, and that's what Nguyễn Nhật Ánh are trying to say with us, by using Ngạn and Trà Long.  So, did you see? ""Mắt biếc"" is not a perfect love story, not even a good story. But it's a great novel about the love and the life of young Vietnamese people in the 60s (or 70s). The emotions in the novel are real, and I think that not only you and me, or people nowaday but also people in the future can feel related to it. Because it's love, and love is eternal."
33,i'm laughing at this
61,Làm sao có thể đọc được vậy??? Tui ko đọc đc
61,Mình đọc sách giấy bạn à :)))
61,"Chuyện của Bác Ánh, các tình tiết lẫn suy nghĩ của nhân vật như được làm quá hơn mấy lần í. Chắc Huyền ko hợp rồi. Đây thì vì dễ thương và đáng yêu nên có thể bỏ qua được hahaaa"
61,"Ừ, chắc vậy. Chắc tại mình hơi nghiêm túc. :))"
61,"A thấy truyện của bác Ánh đọc tầm cấp 2, đầu cấp 3 là hạp nhất. Sau cái tuổi ấy là gần như biết rằng bác viết thì vẫn hay đấy, nhưng đọc thì không còn vào nổi nữa =)))"
61,Vâng ạ. ^^
61,"Cá nhân mình thì thấy truyện của bác Ánh khi viết về tuổi mới lớn sẽ hay hơn truyện dành cho thiếu nhi, điển hình là còn chút gì để nhớ, đi qua hoa cúc, trại hoa vàng..."
61,Mình sẽ thử tìm đọc tiếp xem sao. ^^
61,tui ko dc doc dc
61,"Mình đọc sách giấy bạn ơi, Goodreads chỉ là trang để review sách thôi bạn ạ."
61,Truyen dai thiet
61,"Thực ra nếu xét về độ dài thì theo mình truyện này cũng ngắn thôi, nhưng chắc vì không thích nên mình cảm thấy nó dài lê thê. ^^"
61,lam the nao ma doc duoc vay ??????
61,Mình đọc sách giấy ạ.
