ID_COMMENT,ID_BOOK,ID_USER,RATE,DATE_POST,REVIEW_CONTENT
1,10925109,2730070,5,Jan 03 2016,"I read this book in Vietnamese about five or six years back, when I first came to the U.S. I remember bringing this book from Vietnam as a gift from my cousin, whom I refer to as sister. This is a very lovely book from Nguyễn Nhật Ánh; he captures the easy-going, and exciting life of many Vietnamese children very well, and of course, this book was not written for children, rather, it was for adults who want a ticket back to their childhoods, a trip down the memory lane. This book serves that purpose very well; it is fast-paced, easy to read, lighthearted. The tone is distinctly that of the South, very down-to-earth, full-of-live, immensely innocent, but unfortunately, all of this, including the quirkiness, got lost during translation. I don't get the same fondness feeling when I read the English the version. But that doesn't mean it is not good, people!"
2,10925109,3504305,1,Mar 25 2015,"I had a good five minute long internal debate with myself before reviewing this book because I read the translated work (the book is originally in Vietnamese) and I have mixed feelings about the book. I wonder if the reason I didn't enjoy the book is because of the content or because of how the original content was translated. With <iThe Man with Compound Eyes<i, translation seemed pretty on point, with of course, some liberty taken for the sake of cohesion... Of course, I know Mandarin much better than I know Vietnamese, and when reading this book, I could only translate the little bits I could into Vietnamese. So I can't speak for the accuracy of translation for both the words and the culture... But with this book it seemed slightly disjointed at parts yet absolutely charming in others. While I knew the book was written as sort of a musing or meanderings of a man's reflection about childhood, and hence expected some episodic writing, the book seemed really REALLY too incoherent at some parts. I wonder if it's because, as I've read in some reviews elsewhere, that the translated version removed and added some parts. Well, whatever it is, I guess I'll only find out if and when I read the original Vietnamese book. That may take awhile because my proficiency in Vietnamese language could probably be likened to that of a five year old."
3,10925109,1893103,4,Dec 29 2014,Just the sweetest. This is a fast and enjoyable read and truly blurs the line between fiction and biography. This should be required reading for grown ups; it is impossible to read this without recollecting the forgotten magic of childhood and the anguish of having to grow up and away from innocence.
4,10925109,6585309,5,Apr 15 2017,i'm out of words to describe
5,10925109,191860,5,May 30 2015,"The frequent contrasting between childhood and adulthood made by the author is reminiscent of the famous French work ""The Little Prince"" and the Japanese novel ""Totto-chan"".The main differences is that these stories told by Mui take place in our actual world (instead of a fantasy world) and are based in Vietnam. I even suspect that the meta-story of how Mui recounts his own childhood from his 40-year-old self is merely a semi-autobiographical account by the actual author himself.Anyway, this novel is truly a pleasant ride to the mindset of a child that is aimed for adult readers. As the spine synopsis says, ""even if [the author Nguyen Nhat Anh] can't transport us back to our own past, [this book] gives us the next best thing""."
6,10925109,525831,4,Apr 12 2011,"This book was a phenomenon when it was first published in Vietnam, partly because of the author's fame, partly because the book itself is truly wonderful: a queer sense of humor, extraordinary thoughts that suit all type of readers: kids, teenagers and adults. I never liked Nguyễn Nhật Ánh and actually distaste his previous books entirely, but to my surprise I found this book hard to put down once started!"
7,10925109,3295269,4,Apr 22 2020,"Nguyen Nhat Anh has said about this book that he did not write this book for children, but instead he wrote it to those <iwho used to be children<i. And indeed as I flipped between the pages in this book, it was as though there is this voice who's speaking to the <bInner Child"
8,10925109,309315,3,Jan 04 2016,"I almost returned this to the library unread since I'm trying to read my own books, but I'm glad I didn't. It's a short little book, only about 140 pages, but it did a great job at capturing childhood, or more clearly, an adult's memory of childhood. I liked seeing how someone growing up across the world from me could have similar childhood memories. It reads like a memoir and felt very real, even though it's a novel (or is it?). It made me think about all of my memories of playing with the kids in the neighborhood and all the games we would come up with. This was almost a 4-star read, but I switched it to 3 stars due to the last chapter, which had sad animal stuff. :( It wasn't graphic, so don't let that steer you away, but people in Vietnam view dogs differently than we do here in the U.S. - I'll leave it at that."
9,10925109,2843818,4,Nov 03 2016,"Rich with one liners and moments where you'll laugh aloud. Just one to share here: ""Adults like to keep the cobwebs out of their attics - to clean up the past. But when you brush those cobwebs away, you may be brushing off diamond dust."" Translated into English from Vietnamese. You'll be a more informed and developed reader of literature by experiencing this short fiction piece."
10,10925109,1203428,4,Dec 28 2014,Lovely little book. Makes you remember good things from your own childhood and lighten up.
11,10925109,6488857,5,Apr 17 2020,"hilarious, remind me of fun memories in my childhood, must read book for adults. how much the book valued?- well, the older you get, the more it makes you cry- it is that kind of books"
12,10925109,520868,4,Aug 07 2019,"But you can, without a ticket, revisit your childhood any time. Just step out of the shallow man=made canal and into deep water. p155TNA may be having us on here, as he considers possibilities for framing this story of innocence and inevitability. Is this memoir, documentary fiction, or fantasy? Can our memories redeem themselves? Can we ever redeem our memories?I've discovered that one mans boring rut is another mans domestic harmony. p28Whatever the case, TNA gives us the observations of a father as he recalls himself at the age of eight. Taking the reader into his confidence, he radiates mischief and goodwill. The transitions between points of view, the wise child and the man he has become, are seamless. But the decks are always stacked, and you know how. p120For such a short book, a lot is covered. With eloquence, wit and style, ,TNA takes us right back into the heart of the mystery.All children are poets, who hear the music and see the colors of the letters on the page=magic portals to a wilderness without fixed meanings, where intuition shows you the way. All that adults see are neat rows of black lines.....p130There are lots of intelligent people in the world, and lots of honest people . As a rule, the super=smart ones are glib and self serving, while the congenitally honest tend to be simple=minded. What a pity for civilization! p108Old wars ended and new wars began, children still went to bed hungry. p83But don't get the impression that this is a bleak little book or a morality tale tarted up for modern sensibilities. The year of being eight had unexpected repercussions, and readers may find themselves wildly snickering at the capers of this little gang of four as they attempt to figure out a way to negotiate the tricky world. DO NOTE: IT WOULD APPEAR HERE THAT THIS BOOK IS ONLY AVAILABLE VIA KINDLE. THIS WOULD INDICATE THAT I UTILIZED THAT KIND OF DEVICE. NOT SO. I READ A HARDCOVER FIRST EDITION"
13,10925109,1820324,4,Jan 04 2015,"A very enjoyable slice of childhood. A short read, the author recounts various episodes of his time growing up in Vietnam. This is in the same style as another very good book called ""Totto-chan: The girl in the Window"" (life in Japan as a child). It is a pleasant recollection of a childhood adventures that reminded me of Mark Twain's writing. The author breaks the barrier between himself as a character and himself as an author with an occasional wink to his reader. He also does a good job in pointing out the differences between the child and adult mind.This is not a Vietnam War story in any way. After visiting Vietnam on business I became fascinated by the country and am always eager to read about its people and culture in a context other than either the Vietnam-American War of the Indochina War."
14,10925109,761859,-1,Jan 14 2016,"The translation is not ideal, but I appreciate the work. He had some very good points and some truly charming moments."
15,10925109,4987693,2,Aug 22 2016,This book is somehow overrated.
16,10925109,3643230,4,Jul 13 2017,"There's is eloquence in simplicity, it is sometimes said, and I found that to be the case with this novel. It is a short but impactful recall to the creativity and enthusiastic wonder that defines childhood and contrasts the abundant monotony of adulthood. I finished this book in between 2-3 hours and loved any bit of it. How relieving it felt after the weeks I've spent reading huge, 500+ page volumes filled to the brim with blandness. Moreover, I commend the author for being able to capture the tone of child-like innocence in his prose. As a writer myself, I understand that personalized voice is a very difficult characteristic to imitate, and I was impressed with his authenticity in style. Kudos to him!"
17,10925109,11836783,4,Jul 16 2020,"I have read this 3 time: 1. When i was a kid and see it in my father book shelves : 3 Start for weird childhood of author. 2. When i prepaird to Unisversity Test : 2 start for any thing in this book and all memories that i  don't wana remember.  3. When i was strusgling find a well paying job, lost my dream and live in the past when i not have  to worries about bill. It just like a start of a converstations when people try to talk about what they  did when they was youth. Every memories about my child hood just flashing away my head like his  book. that make me concern : did he purpose to write so sporadic memmories ?. Anyways like he  said :""this book isn't Children's book, it writen for someone used to be a child""."
18,10925109,184748,2,Jan 10 2020,"This is an author really really loved by the Vietnamese, and I guess, you have to have grown up in Vietnam to appreciate him because I find this book - and other media by this guy to be frankly terrrible and they all have this horrible misogynistic undertone and... yeah. This book is not only dull, it constantly makes you question how real it is, but not in a good way.ahhh it's not even worth writing more about."
19,10925109,9541907,5,Mar 24 2020,"On my trip to Ho Chi Minh last year, I wanted so badly to bring back Vietnamese authors’ translated works. I finally read it yesterday (thanks to COVID-19 lockdown) and take my sweet time reading it. It is a children’s book made for adults, hence the title. I smiled all the way through reading it and smiled upon finishing it. What a great book. A simple but thought provoking one. It will be a book I will reread again and again and again."
20,10925109,388508,4,Jun 27 2018,"Is this really a novel, or a memoir masquerading as a novel? I'm not sure...but I did enjoy the experience. In its exploration of childhood, reflected in the eyes of adults, it's sweet, outrageous, funny, and poignant. It treats the fourth wall between writer and reader like a permeable membrane, and the end result is something slightly kooky and off-centre, but joyously entertaining."
21,10925109,5304532,3,May 28 2017,"This book is about some stories that everybody has experienced once in their lives when they were young. These stories are really close to each person's life. But I don't like it very much because it has some romantic details which I hate :""&gt;"
22,10925109,3496296,4,Oct 31 2017,"As its name, just give you a ticket to come back to childhood years. There were packs of candy given each other, afternoons run away from home to steal mangos, fly kites on rice paddies and catch field crabs ..."
23,10925109,702163,4,May 12 2020,"I am given this book during this time as a therapy for the soul.I am not a fan of Nguyen Nhat Anh, simply not. But this book brings me pure joy and happy memories from the childhood, which probably a good treat of joyful moments I am in need right now.It is a good-night book."
24,10925109,217182,5,Jun 05 2017,A pitch-perfect return to the mind of childhood.
25,10925109,571702,4,Jan 22 2018,"A great read for a family oriented person, big or small."
